RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThree AmericanName,MMR Current AvgPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
7550,0,2/23/2009,MANHEIM,2004,5,GMC,ENVOY 4WD 6C 4.2L I6,SLE,4D UTILITY 4.2L,BLUE,AUTO,1,Alloy,71116,AMERICAN,MEDIUM SUV,GM,8193,NULL,NULL,16044,27542,NC,7100,0,1974
7566,0,3/2/2009,MANHEIM,2004,5,CHEVROLET,TRAILBLAZER 2WD 6C 4,Nor,4D SUV 4.2L LS,SILVER,AUTO,1,Alloy,77279,AMERICAN,MEDIUM SUV,GM,9745,NULL,NULL,20928,27542,NC,7900,0,1155
7574,0,3/2/2009,MANHEIM,2007,2,DODGE,CHARGER V6 2.7L V6 M,Bas,4D SEDAN 2.7L,SILVER,AUTO,NULL,NULL,58682,AMERICAN,SPECIALTY,CHRYSLER,10555,NULL,NULL,20928,27542,NC,10200,0,1086
7582,0,3/6/2009,MANHEIM,2001,8,FORD,FOCUS 2.0L I-4 SFI S,ZX3,2D COUPE ZX3,BLUE,AUTO,1,Alloy,76064,AMERICAN,COMPACT,FORD,11521,NULL,NULL,17675,27542,NC,3900,0,1455
7592,0,3/9/2009,MANHEIM,2006,3,DODGE,CARAVAN FWD V6 3.3L,SXT,MINIVAN 3.3L SXT,WHITE,AUTO,2,Covers,80543,AMERICAN,VAN,CHRYSLER,7187,NULL,NULL,18881,27542,NC,5500,0,1763
7612,0,3/9/2009,MANHEIM,2004,5,CHEVROLET,1500 SILVERADO PICKU,LS,EXT CAB 4.8L LS,BLUE,AUTO,1,Alloy,67628,AMERICAN,LARGE TRUCK,GM,6628,NULL,NULL,21973,27542,NC,8900,0,1020
7616,0,3/9/2009,MANHEIM,2006,3,CHRYSLER,300 2.7L V6 MPI,Bas,4D SEDAN,BLACK,AUTO,1,Alloy,70829,AMERICAN,SPECIALTY,CHRYSLER,9905,NULL,NULL,18881,27542,NC,9900,0,1389
7627,1,3/16/2009,MANHEIM,2003,6,FORD,EXPLORER 2WD V6 4.0L,XLT,4D SUV 4.0L FFV XLT,BLUE,AUTO,1,Alloy,81458,AMERICAN,MEDIUM SUV,FORD,5571,NULL,NULL,5546,27542,NC,6800,0,1543
7642,0,3/16/2009,MANHEIM,2007,2,SUZUKI,FORENZA 2.0L I4 EFI,,4D SEDAN,RED,AUTO,2,Covers,32407,OTHER ASIAN,MEDIUM,OTHER,5566,NULL,NULL,5546,27542,NC,5500,0,462
7664,0,3/16/2009,MANHEIM,2006,3,DODGE,DURANGO 4WD V8 4.7L,Adv,4D SUV 4.7L,GOLD,AUTO,1,Alloy,54565,AMERICAN,MEDIUM SUV,CHRYSLER,12152,NULL,NULL,5546,27542,NC,8900,0,1251
7690,0,5/18/2009,MANHEIM,2005,4,DODGE,STRATUS V6 2.7L V6 M,SXT,4D SEDAN SXT FFV,GREY,AUTO,2,Covers,38474,AMERICAN,MEDIUM,CHRYSLER,5569,NULL,NULL,20740,27542,NC,5400,0,882
7707,0,5/18/2009,MANHEIM,2006,3,CHEVROLET,MALIBU 4C 2.2L I4 MP,LT,4D SEDAN LT,GOLD,AUTO,2,Covers,77192,AMERICAN,MEDIUM,GM,6311,NULL,NULL,19619,27542,NC,6000,0,1038
7714,0,5/18/2009,MANHEIM,2005,4,FORD,EXPLORER 4WD V6 4.0L,XLS,4D SUV 4.0L FFV XLS,SILVER,AUTO,1,Alloy,74690,AMERICAN,MEDIUM SUV,FORD,7071,NULL,NULL,20740,27542,NC,7600,0,1740
7747,0,5/18/2009,MANHEIM,2006,3,CHRYSLER,PACIFICA FWD 3.5L V6,Tou,4D SPORT TOURING,SILVER,AUTO,1,Alloy,51609,AMERICAN,CROSSOVER,CHRYSLER,10553,NULL,NULL,20740,27542,NC,9200,0,1086
7774,0,6/1/2009,MANHEIM,2005,4,CHEVROLET,MALIBU MAXX V6 3.5L,LS,4D SEDAN LS,GOLD,AUTO,1,Alloy,70876,AMERICAN,MEDIUM,GM,5028,NULL,NULL,18880,27542,NC,6300,0,1272
7780,1,6/1/2009,MANHEIM,2003,6,FORD,MUSTANG V6 3.8L V6 E,Bas,2D COUPE,MAROON,AUTO,1,Alloy,78867,AMERICAN,SPORTS,FORD,4722,NULL,NULL,17675,27542,NC,5700,0,1103
7784,0,6/1/2009,MANHEIM,2007,2,SUZUKI,FORENZA 2.0L I4 EFI,,4D SEDAN,SILVER,MANUAL,2,Covers,44336,OTHER ASIAN,MEDIUM,OTHER,5543,NULL,NULL,18880,27542,NC,4500,0,482
7802,0,6/8/2009,MANHEIM,2003,6,MITSUBISHI,LANCER 2.0L I4 MPI,ES,4D SEDAN ES,MAROON,AUTO,2,Covers,79302,OTHER ASIAN,COMPACT,OTHER,2509,NULL,NULL,21973,27542,NC,4300,0,869
7813,0,8/17/2009,MANHEIM,2005,4,MAZDA,TRIBUTE 2WD V6 3.0L,s,4D SPORT UTILITY S,WHITE,AUTO,1,Alloy,80280,OTHER ASIAN,SMALL SUV,OTHER,6719,NULL,NULL,18880,27542,NC,7500,0,983
7841,0,8/21/2009,MANHEIM,2006,3,FORD,FREESTYLE FWD V6 3.0,SE,4D CUV 3.0L SE,SILVER,AUTO,1,Alloy,81476,AMERICAN,CROSSOVER,FORD,7650,NULL,NULL,17675,27542,NC,8550,0,1633
7850,1,8/24/2009,MANHEIM,2005,4,MERCURY,MARINER 2WD 4C 2.3L,Bas,4D SUV 2.3L,BLACK,AUTO,1,Alloy,68268,AMERICAN,SMALL SUV,FORD,6774,NULL,NULL,20928,27542,NC,7700,0,825
7859,1,8/24/2009,MANHEIM,2005,4,FORD,ESCAPE 4WD V6 3.0L V,XLT,4D CUV 3.0L XLT,BLUE,AUTO,1,Alloy,89646,AMERICAN,SMALL SUV,FORD,8008,NULL,NULL,20928,27542,NC,6900,0,1503
7861,1,8/24/2009,MANHEIM,2001,8,CHEVROLET,2500HD SILVERADO PIC,LS,EXT CAB 6.0L LS,GREEN,AUTO,1,Alloy,96489,AMERICAN,LARGE TRUCK,GM,2266,NULL,NULL,17675,27542,NC,8400,0,1641
7864,0,8/24/2009,MANHEIM,2005,4,DODGE,DAKOTA PICKUP 2WD V6,ST,EXT CAB 3.7L,BLUE,AUTO,1,Alloy,71332,AMERICAN,SMALL TRUCK,CHRYSLER,8222,NULL,NULL,20928,27542,NC,6700,0,1155
7873,0,8/24/2009,MANHEIM,2005,4,MAZDA,TRIBUTE 2WD 4C 2.3L,i,4D SPORT UTILITY I,RED,AUTO,1,Alloy,78723,OTHER ASIAN,SMALL SUV,OTHER,7380,NULL,NULL,17675,27542,NC,6400,0,920
7885,0,8/31/2009,MANHEIM,2006,3,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,GREY,AUTO,2,Covers,54419,AMERICAN,MEDIUM,CHRYSLER,5033,NULL,NULL,21973,27542,NC,6135,0,1086
7886,0,8/31/2009,MANHEIM,2006,3,CHEVROLET,HHR 2.2L I4 MPI,LS,4D SUV 2.2L LS,SILVER,AUTO,2,Covers,82149,AMERICAN,MEDIUM,GM,5595,NULL,NULL,21973,27542,NC,6900,0,853
7887,0,8/31/2009,MANHEIM,2005,4,CHRYSLER,PACIFICA FWD 3.5L V6,Tou,4D SPORT,BLUE,AUTO,1,Alloy,65169,AMERICAN,CROSSOVER,CHRYSLER,5665,NULL,NULL,21973,27542,NC,8500,0,1215
7901,1,9/4/2009,MANHEIM,2004,5,CHEVROLET,TAHOE 4WD 4.8L V8 SF,LS,4D SUV 4.8L LS,WHITE,AUTO,NULL,NULL,87134,AMERICAN,LARGE SUV,GM,8987,NULL,NULL,99740,27542,NC,8900,0,1763
7908,0,9/7/2009,MANHEIM,2006,3,CHEVROLET,UPLANDER FWD V6 3.5L,LS,PASSENGER EXT 3.5L,GREEN,AUTO,2,Covers,66395,AMERICAN,VAN,GM,7749,NULL,NULL,17675,27542,NC,7350,0,1801
7914,0,9/14/2009,MANHEIM,2004,5,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,GREY,AUTO,1,Alloy,88146,AMERICAN,MEDIUM,FORD,3267,NULL,NULL,18880,27542,NC,4700,0,983
7918,0,9/14/2009,MANHEIM,2004,5,CHRYSLER,PACIFICA AWD 3.5L V6,,4D SPORT TOURER,BLACK,AUTO,1,Alloy,76771,AMERICAN,CROSSOVER,CHRYSLER,7175,NULL,NULL,17675,27542,NC,7835,0,1857
7938,1,11/2/2009,MANHEIM,2004,5,CHRYSLER,PT CRUISER,Bas,4D SEDAN,WHITE,AUTO,NULL,NULL,94915,AMERICAN,MEDIUM,CHRYSLER,3656,NULL,NULL,18880,27542,NC,4200,0,1630
7940,0,11/2/2009,MANHEIM,2005,4,FORD,TAURUS,SE,4D SEDAN SE,BEIGE,AUTO,2,Covers,85445,AMERICAN,MEDIUM,FORD,3416,NULL,NULL,18880,27542,NC,3800,0,983
7942,0,11/2/2009,MANHEIM,2006,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,SILVER,AUTO,2,Covers,53624,AMERICAN,LARGE,GM,7048,NULL,NULL,18880,27542,NC,8000,0,1500
7943,0,11/2/2009,MANHEIM,2005,4,MITSUBISHI,LANCER,ES,4D SEDAN ES,BLUE,AUTO,2,Covers,70259,OTHER ASIAN,COMPACT,OTHER,3615,NULL,NULL,18880,27542,NC,5200,0,569
7947,0,11/2/2009,MANHEIM,2002,7,BUICK,CENTURY V6,Cus,4D SEDAN CUSTOM,GOLD,AUTO,2,Covers,78200,AMERICAN,MEDIUM,GM,2503,NULL,NULL,18880,27542,NC,4200,0,2274
7949,1,11/2/2009,MANHEIM,2005,4,CHRYSLER,TOWN & COUNTRY FWD V,Lim,MINIVAN 3.8L LIMITED,BLACK,AUTO,1,Alloy,86671,AMERICAN,VAN,CHRYSLER,7871,NULL,NULL,18880,27542,NC,7935,0,1763
7957,0,11/2/2009,MANHEIM,2006,3,PONTIAC,G6 4C,Bas,4D SEDAN SE,BEIGE,AUTO,2,Covers,84887,AMERICAN,MEDIUM,GM,5742,NULL,NULL,18880,27542,NC,6600,0,1113
7959,0,11/2/2009,MANHEIM,2002,7,FORD,FOCUS,ZTS,4D SEDAN ZTS,SILVER,MANUAL,1,Alloy,95183,AMERICAN,COMPACT,FORD,2767,NULL,NULL,18880,27542,NC,2000,0,1641
7966,0,11/9/2009,MANHEIM,2005,4,CHRYSLER,PACIFICA FWD,Tou,4D SPORT TOURING,SILVER,AUTO,1,Alloy,77460,AMERICAN,CROSSOVER,CHRYSLER,8071,NULL,NULL,17675,27542,NC,8850,0,1389
7989,0,11/9/2009,MANHEIM,2005,4,BUICK,CENTURY V6,Cus,4D SEDAN CUSTOM,WHITE,AUTO,NULL,NULL,87335,AMERICAN,MEDIUM,GM,3783,NULL,NULL,17675,27542,NC,4000,0,2152
8003,0,11/16/2009,MANHEIM,2007,2,CHEVROLET,IMPALA,LS,4D SEDAN LS,BLACK,AUTO,NULL,NULL,61493,AMERICAN,LARGE,GM,6801,NULL,NULL,20928,27542,NC,7700,0,1703
8030,0,11/23/2009,MANHEIM,2007,2,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L,BLACK,AUTO,NULL,NULL,83634,AMERICAN,MEDIUM SUV,GM,9873,NULL,NULL,18880,27542,NC,7800,0,1243
8050,0,11/23/2009,MANHEIM,2006,3,JEEP,GRAND CHEROKEE 4WD V,Lar,4D WAGON LAREDO,BLUE,AUTO,1,Alloy,52522,AMERICAN,MEDIUM SUV,CHRYSLER,13302,NULL,NULL,18880,27542,NC,10000,0,1417
8055,0,11/23/2009,MANHEIM,2004,5,JEEP,GRAND CHEROKEE 2WD 6,Lar,4D WAGON,BLUE,AUTO,1,Alloy,86408,AMERICAN,MEDIUM SUV,CHRYSLER,6522,NULL,NULL,18880,27542,NC,7200,0,1893
8060,0,11/30/2009,MANHEIM,2006,3,CHRYSLER,TOWN & COUNTRY 2WD V,LX,MINIVAN 3.3L,GREEN,AUTO,2,Covers,54230,AMERICAN,VAN,CHRYSLER,5716,NULL,NULL,20740,27542,NC,7635,0,1251
8070,0,2/1/2010,MANHEIM,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,WHITE,AUTO,2,Covers,68422,AMERICAN,LARGE,GM,8173,NULL,NULL,19619,27542,NC,7900,0,1703
8073,0,2/1/2010,MANHEIM,2004,6,FORD,MUSTANG V6,Bas,2D COUPE,RED,AUTO,1,Alloy,35471,AMERICAN,SPORTS,FORD,5350,NULL,NULL,19619,27542,NC,7235,0,582
8074,0,2/1/2010,MANHEIM,2006,4,FORD,FIVE HUNDRED,SE,4D SEDAN SE,GREY,AUTO,1,Alloy,76245,AMERICAN,LARGE,FORD,6380,NULL,NULL,19619,27542,NC,7800,0,1506
8076,0,2/1/2010,MANHEIM,2004,6,CHEVROLET,MONTE CARLO,LS,2D COUPE LS,BLACK,AUTO,1,Alloy,68235,AMERICAN,LARGE,GM,4725,NULL,NULL,19619,27542,NC,4835,0,1703
8083,0,2/1/2010,MANHEIM,2007,3,CHEVROLET,MALIBU 4C,LS,4D SEDAN LS,GREY,AUTO,2,Covers,76193,AMERICAN,MEDIUM,GM,7263,NULL,NULL,19619,27542,NC,6900,0,1038
8089,1,2/5/2010,MANHEIM,2002,8,MAZDA,TRIBUTE 4WD V6,DX,4D SPORT UTILITY DX,GREY,AUTO,1,Alloy,71678,OTHER ASIAN,SMALL SUV,OTHER,0,NULL,NULL,17675,27542,NC,6200,0,1689
8093,0,2/5/2010,MANHEIM,2005,5,TOYOTA,CAMRY 4C,Bas,4D SEDAN,BLUE,AUTO,2,Covers,86484,TOP LINE ASIAN,MEDIUM,OTHER,7377,NULL,NULL,17675,27542,NC,8000,0,594
8097,0,2/8/2010,MANHEIM,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,GREY,AUTO,2,Covers,89619,AMERICAN,LARGE,GM,7792,NULL,NULL,18881,27542,NC,7800,0,2152
8103,0,2/8/2010,MANHEIM,2005,5,JEEP,LIBERTY 2WD V6,Ren,4D SUV RENEGADE,SILVER,AUTO,1,Alloy,71680,AMERICAN,SMALL SUV,CHRYSLER,7882,NULL,NULL,18111,27542,NC,7200,0,686
8115,0,2/8/2010,MANHEIM,2002,8,GMC,1500 SIERRA PICKUP 2,SL,REG CAB 4.3L,SILVER,AUTO,2,Covers,77943,AMERICAN,LARGE TRUCK,GM,2978,NULL,NULL,18111,27542,NC,5800,0,1572
8145,0,2/15/2010,MANHEIM,2008,2,CHEVROLET,HHR,LS,4D SUV 2.2L LS,SILVER,AUTO,2,Covers,50608,AMERICAN,MEDIUM,GM,8147,NULL,NULL,20928,27542,NC,7800,0,671
8148,0,2/15/2010,MANHEIM,2005,5,DODGE,STRATUS 4C,SXT,4D SEDAN,GREY,AUTO,1,Alloy,87207,AMERICAN,MEDIUM,CHRYSLER,3538,NULL,NULL,20928,27542,NC,5335,0,1243
8152,0,2/15/2010,MANHEIM,2004,6,CHEVROLET,TAHOE 2WD,LS,4D SUV 4.8L LS,WHITE,AUTO,3,Special,74334,AMERICAN,LARGE SUV,GM,9327,NULL,NULL,20928,27542,NC,10335,0,1623
8159,0,2/15/2010,MANHEIM,2007,3,FORD,ESCAPE 2WD 4C,XLS,4D CUV 2.3L XLS,GREY,AUTO,1,Alloy,67232,AMERICAN,SMALL SUV,FORD,9583,NULL,NULL,20928,27542,NC,7835,0,825
8162,0,2/15/2010,MANHEIM,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,WHITE,AUTO,2,Covers,48079,AMERICAN,MEDIUM,CHRYSLER,8515,NULL,NULL,20928,27542,NC,7600,0,834
8167,0,2/19/2010,MANHEIM,2004,6,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,BLUE,AUTO,1,Alloy,87533,AMERICAN,LARGE SUV,FORD,9213,NULL,NULL,1191,27542,NC,9400,1,1113
8181,1,2/22/2010,MANHEIM,2004,6,PONTIAC,MONTANA,,4D MINIVAN EXT 3.4L,WHITE,AUTO,1,Alloy,76723,AMERICAN,VAN,GM,4086,NULL,NULL,17675,27542,NC,4900,0,4622
8188,1,2/22/2010,MANHEIM,2005,5,CHRYSLER,TOWN & COUNTRY FWD V,LX,MINIVAN 3.3L LX,BLUE,AUTO,2,Covers,78945,AMERICAN,VAN,CHRYSLER,4521,NULL,NULL,17675,27542,NC,7300,0,1623
8206,0,5/3/2010,MANHEIM,2003,7,FORD,TAURUS,SES,4D SEDAN SES DURATEC,GREY,AUTO,1,Alloy,78833,AMERICAN,MEDIUM,FORD,3039,NULL,NULL,19638,27542,NC,4500,0,1220
8217,0,5/3/2010,MANHEIM,2005,5,NISSAN,ALTIMA,Bas,4D SEDAN,BLACK,AUTO,2,Covers,82928,TOP LINE ASIAN,MEDIUM,OTHER,6060,NULL,NULL,19638,27542,NC,8000,0,723
8227,0,5/7/2010,MANHEIM,2003,7,CHEVROLET,TAHOE 2WD,LS,4D SUV 5.3L FFV,BLACK,AUTO,1,Alloy,88562,AMERICAN,LARGE SUV,GM,7450,NULL,NULL,17675,27542,NC,10900,0,2063
8241,0,5/10/2010,MANHEIM,2007,3,MITSUBISHI,GALANT 4C,ES,4D SEDAN,GREY,AUTO,2,Covers,69901,OTHER ASIAN,MEDIUM,OTHER,7037,NULL,NULL,20740,27542,NC,7300,0,533
8260,0,5/17/2010,MANHEIM,2007,3,KIA,SPECTRA,EX,4D SEDAN EX,BLACK,MANUAL,3,Special,67793,OTHER ASIAN,MEDIUM,OTHER,5049,NULL,NULL,18881,27542,NC,5435,0,533
8276,0,5/24/2010,MANHEIM,2003,7,HONDA,ACCORD V6,EX,2D COUPE EX AUTO,GOLD,AUTO,1,Alloy,73456,TOP LINE ASIAN,MEDIUM,OTHER,6189,NULL,NULL,18880,27542,NC,8700,0,1455
8325,0,6/7/2010,MANHEIM,2007,3,CHEVROLET,COBALT,LS,4D SEDAN LS,GOLD,AUTO,2,Covers,69851,AMERICAN,COMPACT,GM,5144,NULL,NULL,8172,27542,NC,5800,0,728
8327,0,6/7/2010,MANHEIM,2004,6,CHEVROLET,VENTURE FWD V6,LS,PASSENGER EXT 3.4L,WHITE,AUTO,1,Alloy,82460,AMERICAN,VAN,GM,3309,NULL,NULL,8172,27542,NC,5700,0,5092
8329,0,6/7/2010,MANHEIM,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,GREY,AUTO,2,Covers,59348,AMERICAN,MEDIUM,CHRYSLER,7592,NULL,NULL,52492,27542,NC,7700,0,920
8338,0,6/7/2010,MANHEIM,2004,6,DODGE,DURANGO 4WD V8,SLT,4D SUV 4.7L,GREY,AUTO,1,Alloy,90356,AMERICAN,MEDIUM SUV,CHRYSLER,7386,NULL,NULL,8172,27542,NC,8500,0,1918
8340,0,8/2/2010,MANHEIM,2005,5,DODGE,CARAVAN GRAND FWD V6,SE,MINIVAN 3.3L,WHITE,AUTO,2,Covers,78484,AMERICAN,VAN,CHRYSLER,4707,NULL,NULL,18880,27542,NC,6600,0,1623
8387,0,8/16/2010,MANHEIM,2003,7,FORD,TAURUS,SES,4D SEDAN SES,RED,AUTO,1,Alloy,32658,AMERICAN,MEDIUM,FORD,2416,NULL,NULL,5546,27542,NC,6135,0,942
8395,0,8/16/2010,MANHEIM,2005,5,CHEVROLET,UPLANDER FWD V6,Bas,PASSENGER EXT 3.5L,BLUE,AUTO,2,Covers,88434,AMERICAN,VAN,GM,3942,NULL,NULL,5546,27542,NC,6500,0,2282
8402,0,8/16/2010,MANHEIM,2004,6,CHEVROLET,VENTURE FWD V6,LS,PASSENGER 3.4L,BLUE,AUTO,2,Covers,72745,AMERICAN,VAN,GM,2708,NO,GREEN,5546,27542,NC,6200,0,4622
8407,0,8/16/2010,MANHEIM,2007,3,CHEVROLET,UPLANDER FWD V6,LS,PASSENGER 3.9L LS,SILVER,AUTO,2,Covers,91694,AMERICAN,VAN,GM,6322,NULL,NULL,5546,27542,NC,5700,0,2495
8411,0,8/16/2010,MANHEIM,2005,5,PONTIAC,GRAND AM 4C,SE,4D SEDAN SE,WHITE,AUTO,2,Covers,92557,AMERICAN,MEDIUM,GM,3210,NULL,NULL,5546,27542,NC,5535,0,1774
8413,0,8/16/2010,MANHEIM,2004,6,FORD,TAURUS,SE,4D SEDAN SE,BEIGE,AUTO,1,Alloy,90765,AMERICAN,MEDIUM,FORD,3008,NULL,NULL,5546,27542,NC,5100,0,1053
8417,1,8/16/2010,MANHEIM,2005,5,FORD,TAURUS,SE,4D SEDAN SE FFV,BEIGE,AUTO,1,Alloy,91832,AMERICAN,MEDIUM,FORD,4171,NULL,NULL,5546,27542,NC,5300,0,1053
8421,0,8/16/2010,MANHEIM,2006,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,GREEN,AUTO,2,Covers,82806,AMERICAN,MEDIUM,CHRYSLER,6653,NULL,NULL,5546,27542,NC,5700,0,1503
8437,0,8/23/2010,MANHEIM,2007,3,CHRYSLER,PT CRUISER,Tou,4D SEDAN,BLACK,AUTO,1,Alloy,83145,AMERICAN,MEDIUM,CHRYSLER,5322,NULL,NULL,17675,27542,NC,5100,0,1503
8442,0,8/23/2010,MANHEIM,2006,4,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.5L,BLACK,AUTO,2,Covers,86428,AMERICAN,LARGE,GM,6169,NULL,NULL,17675,27542,NC,7500,0,2152
8463,0,8/30/2010,MANHEIM,2008,2,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,WHITE,AUTO,2,Covers,70489,AMERICAN,SPECIALTY,CHRYSLER,9845,NULL,NULL,19619,27542,NC,10200,0,1389
8466,0,8/30/2010,MANHEIM,2005,5,DODGE,NEON,SE,4D SEDAN,BLACK,AUTO,2,Covers,55160,AMERICAN,COMPACT,CHRYSLER,3081,NULL,NULL,19619,27542,NC,4600,0,588
8478,1,10/25/2010,MANHEIM,2007,3,FORD,FIVE HUNDRED,Lim,4D SEDAN LIMITED AWD,GREY,AUTO,1,Alloy,86953,AMERICAN,LARGE,FORD,9792,NULL,NULL,19638,27542,NC,7800,0,1763
8485,0,10/25/2010,MANHEIM,2006,4,CHEVROLET,IMPALA,LS,4D SEDAN LS,GREY,AUTO,2,Covers,62699,AMERICAN,LARGE,GM,5797,NULL,NULL,19638,27542,NC,7500,0,1703
8492,0,10/25/2010,MANHEIM,2008,2,KIA,RIO,Bas,4D SEDAN,SILVER,MANUAL,2,Covers,41968,OTHER ASIAN,COMPACT,OTHER,5914,NULL,NULL,19638,27542,NC,4700,0,482
8504,0,11/1/2010,MANHEIM,2007,3,SUZUKI,RENO,,4D SEDAN,SILVER,AUTO,2,Covers,41126,OTHER ASIAN,COMPACT,OTHER,4114,NULL,NULL,8172,27542,NC,5400,0,482
8506,0,11/1/2010,MANHEIM,2006,4,CADILLAC,CTS,Bas,4D SEDAN,BEIGE,AUTO,1,Alloy,82704,AMERICAN,SPECIALTY,GM,10746,NULL,NULL,8172,27542,NC,9400,0,1763
8510,0,11/1/2010,MANHEIM,2005,5,BUICK,RENDEZVOUS FWD,CX,4D SUV CX,MAROON,AUTO,2,Covers,93495,AMERICAN,MEDIUM SUV,GM,4933,NULL,NULL,8172,27542,NC,6400,0,4437
8512,0,11/1/2010,MANHEIM,2008,2,CHEVROLET,MALIBU 4C,LS,4D SEDAN LS,GREY,AUTO,2,Covers,72225,AMERICAN,MEDIUM,GM,9345,NULL,NULL,8172,27542,NC,8700,0,1038
8515,0,11/1/2010,MANHEIM,2007,3,SUZUKI,RENO,,4D SEDAN,BLACK,AUTO,2,Covers,28965,OTHER ASIAN,COMPACT,OTHER,4030,NULL,NULL,8172,27542,NC,5900,0,462
8519,0,11/1/2010,MANHEIM,2003,7,SATURN,VUE 2WD 4C,,4D CUV 2.2L,SILVER,AUTO,1,Alloy,87634,AMERICAN,MEDIUM SUV,GM,2835,NULL,NULL,8172,27542,NC,3700,0,2063
8529,0,11/8/2010,MANHEIM,2005,5,DODGE,STRATUS V6,SXT,4D SEDAN,BLACK,AUTO,1,Alloy,90448,AMERICAN,MEDIUM,CHRYSLER,3281,NULL,NULL,52598,27542,NC,4200,0,1630
8537,0,11/8/2010,MANHEIM,2006,4,VOLKSWAGEN,JETTA 5C,Val,4D SEDAN VALUE,SILVER,AUTO,2,Covers,73802,OTHER,SPECIALTY,OTHER,6715,NULL,NULL,52598,27542,NC,7100,0,1272
8539,1,11/8/2010,MANHEIM,2005,5,FORD,EXPEDITION 4WD V8,XLT,4D SUV 5.4L XLT,GREY,AUTO,1,Alloy,96550,AMERICAN,LARGE SUV,FORD,7438,NO,GREEN,52492,27542,NC,9800,0,1630
8543,0,11/8/2010,MANHEIM,2005,5,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L,SILVER,AUTO,1,Alloy,98399,AMERICAN,MEDIUM SUV,GM,6599,NULL,NULL,52598,27542,NC,6000,0,1341
8590,0,11/15/2010,MANHEIM,2005,5,DODGE,DURANGO 2WD V8,SLT,4D SUV 4.7L SLT,BLACK,AUTO,1,Alloy,87306,AMERICAN,MEDIUM SUV,CHRYSLER,6885,NULL,NULL,20928,27542,NC,9100,0,1503
8599,1,6/3/2010,MANHEIM,2002,8,FORD,WINDSTAR FWD V6,Lim,4D PASSENGER 3.8L SEL LIMITED,GREY,AUTO,1,Alloy,96204,AMERICAN,VAN,FORD,3526,NULL,NULL,8172,30272,GA,5075,0,2506
8620,0,6/24/2010,MANHEIM,2005,5,CHRYSLER,SEBRING V6,Lim,4D SEDAN,GOLD,AUTO,1,Alloy,76564,AMERICAN,MEDIUM,CHRYSLER,0,NULL,NULL,18111,30272,GA,5795,0,1272
8622,0,6/24/2010,MANHEIM,2003,7,BUICK,LE SABRE,Cus,4D SEDAN CUSTOM,BLUE,AUTO,1,Alloy,94935,AMERICAN,LARGE,GM,4309,NULL,NULL,18111,30272,GA,5995,0,2939
8625,0,6/24/2010,MANHEIM,2004,6,CHRYSLER,PT CRUISER,Bas,4D SEDAN,WHITE,AUTO,2,Covers,83266,AMERICAN,MEDIUM,CHRYSLER,2966,NULL,NULL,18111,30272,GA,5010,0,1503
8633,0,7/1/2010,MANHEIM,2006,4,DODGE,STRATUS 4C,SXT,4D SEDAN,WHITE,AUTO,2,Covers,88630,AMERICAN,MEDIUM,CHRYSLER,4142,NULL,NULL,18880,30272,GA,4975,0,1243
8636,0,7/15/2010,MANHEIM,2008,2,CHEVROLET,AVEO,LS,4D SEDAN LS,BLUE,AUTO,2,Covers,61087,AMERICAN,COMPACT,GM,6017,NULL,NULL,18881,30272,GA,5430,0,728
8638,0,7/15/2010,MANHEIM,2006,4,DODGE,DURANGO 2WD V8,Adv,4D SUV 4.7L ADVENTURER,RED,AUTO,1,Alloy,93683,AMERICAN,MEDIUM SUV,CHRYSLER,9640,NULL,NULL,18881,30272,GA,10525,0,1630
8643,0,7/15/2010,MANHEIM,2002,8,CHRYSLER,PT CRUISER,Lim,4D SEDAN LIMITED,BLACK,AUTO,1,Alloy,69672,AMERICAN,MEDIUM,CHRYSLER,3171,NULL,NULL,18881,30272,GA,4375,0,1515
8649,0,7/22/2010,MANHEIM,2007,3,MERCURY,MILAN V6,Pre,4D SEDAN PREMIER,GREY,AUTO,NULL,NULL,86982,AMERICAN,MEDIUM,FORD,11787,NULL,NULL,18111,30272,GA,9275,0,1373
8650,1,7/22/2010,MANHEIM,2005,5,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,WHITE,AUTO,1,Alloy,80898,AMERICAN,MEDIUM,CHRYSLER,3474,NULL,NULL,18111,30272,GA,5245,0,1243
